state,declarationDate,incidentType,designatedArea,FID
OR,2020-09-10T22:45:00.000Z,Fire,Clackamas,2058
OR,2020-09-10T22:45:00.000Z,Fire,Douglas,2115
OR,2020-09-10T22:45:00.000Z,Fire,Jackson,2139
OR,2020-09-10T22:45:00.000Z,Fire,Klamath,2155
OR,2020-09-10T22:45:00.000Z,Fire,Lane,2170
OR,2020-09-10T22:45:00.000Z,Fire,Lincoln,2174
OR,2020-09-10T22:45:00.000Z,Fire,Marion,2200
OR,2020-09-10T22:45:00.000Z,Fire,Linn,2181
OR,2020-09-10T22:45:00.000Z,Fire,Tillamook,2242
OR,2020-09-10T22:45:00.000Z,Fire,Jefferson,2143
OR,2020-09-10T22:45:00.000Z,Fire,Washington,2272
CA,2020-08-22T16:00:00.000Z,Fire,Nevada,243
CA,2020-08-22T16:00:00.000Z,Fire,Plumas,275
CA,2020-08-22T16:00:00.000Z,Fire,Sierra,439
CA,2020-08-22T16:00:00.000Z,Fire,Tuolumne,513
CA,2020-08-22T16:00:00.000Z,Fire,Yuba,541
CA,2020-08-22T16:00:00.000Z,Fire,Lake,100
CA,2020-08-22T16:00:00.000Z,Fire,Monterey,228
CA,2020-08-22T16:00:00.000Z,Fire,Napa,236
CA,2020-08-22T16:00:00.000Z,Fire,Santa Clara,406
CA,2020-08-22T16:00:00.000Z,Fire,Santa Cruz,415
CA,2020-08-22T16:00:00.000Z,Fire,Mendocino,190
CA,2020-08-22T16:00:00.000Z,Fire,Lassen,104
CA,2020-08-22T16:00:00.000Z,Fire,Sonoma,463
CA,2020-08-22T16:00:00.000Z,Fire,Stanislaus,473
CA,2020-08-22T16:00:00.000Z,Fire,Trinity,500
CA,2020-08-22T16:00:00.000Z,Fire,Tulare,501
CA,2020-08-22T16:00:00.000Z,Fire,Yolo,525
CA,2020-08-22T16:00:00.000Z,Fire,Solano,453
CA,2020-08-22T16:00:00.000Z,Fire,San Mateo,368
CA,2020-08-22T16:00:00.000Z,Fire,Butte,486
OR,2020-09-15T18:25:00.000Z,Fire,Benton,2053
OR,2020-09-15T18:25:00.000Z,Fire,Jefferson,2143
OR,2020-09-15T18:25:00.000Z,Fire,Columbia,2070
OR,2020-09-15T18:25:00.000Z,Fire,Coos,2083
OR,2020-09-15T18:25:00.000Z,Fire,Deschutes,2109
OR,2020-09-15T18:25:00.000Z,Fire,Josephine,2152
OR,2020-09-15T18:25:00.000Z,Fire,Multnomah,2218
OR,2020-09-15T18:25:00.000Z,Fire,Wasco,2267
OR,2020-09-15T18:25:00.000Z,Fire,Washington,2272
OR,2020-09-15T18:25:00.000Z,Fire,Jackson,2139
OR,2020-09-15T18:25:00.000Z,Fire,Yamhill,2284
OR,2020-09-15T18:25:00.000Z,Fire,Tillamook,2242
OR,2020-09-15T18:25:00.000Z,Fire,Clackamas,2058
OR,2020-09-15T18:25:00.000Z,Fire,Marion,2200
OR,2020-09-15T18:25:00.000Z,Fire,Lake,2159
OR,2020-09-15T18:25:00.000Z,Fire,Klamath,2155
OR,2020-09-15T18:25:00.000Z,Fire,Douglas,2115
OR,2020-09-15T18:25:00.000Z,Fire,Lincoln,2174
OR,2020-09-15T18:25:00.000Z,Fire,Linn,2181
OR,2020-09-15T18:25:00.000Z,Fire,Lane,2170
