state,declarationDate,incidentType,designatedArea,FID
CA,2007-03-13T22:20:00.000Z,Freezing,Fresno,527
CA,2007-03-13T22:20:00.000Z,Freezing,Imperial,557
CA,2007-03-13T22:20:00.000Z,Freezing,Kern,84
CA,2007-03-13T22:20:00.000Z,Freezing,Kings,94
CA,2007-03-13T22:20:00.000Z,Freezing,Madera,153
CA,2007-03-13T22:20:00.000Z,Freezing,Los Angeles,139
CA,2007-03-13T22:20:00.000Z,Freezing,Merced,204
CA,2007-03-13T22:20:00.000Z,Freezing,Monterey,228
CA,2007-03-13T22:20:00.000Z,Freezing,San Bernardino,302
CA,2007-03-13T22:20:00.000Z,Freezing,San Diego,315
CA,2007-03-13T22:20:00.000Z,Freezing,San Luis Obispo,351
CA,2007-03-13T22:20:00.000Z,Freezing,Stanislaus,473
CA,2007-03-13T22:20:00.000Z,Freezing,Santa Barbara,391
CA,2007-03-13T22:20:00.000Z,Freezing,Riverside,281
CA,2007-03-13T22:20:00.000Z,Freezing,Ventura,521
CA,2007-03-13T22:20:00.000Z,Freezing,Tulare,501
