State,designatedArea,disasterType,Freq,FEMA_Object_ID
Kansas,Barber,Snow,1,535
Kansas,Barton,Snow,1,536
Kansas,Ellis,Snow,1,557
Kansas,Franklin,Snow,1,561
Kansas,Harper,Snow,1,570
Kansas,Harvey,Snow,1,571
Kansas,Hodgeman,Snow,1,573
Kansas,Dickinson,Snow,1,552
Kansas,Kingman,Snow,1,579
Kansas,McPherson,Snow,1,588
Kansas,Marion,Snow,1,589
Kansas,Ness,Snow,1,599
Kansas,Osage,Snow,1,601
Kansas,Osborne,Snow,1,602
Kansas,Pawnee,Snow,1,604
Kansas,Phillips,Snow,1,605
Kansas,Rice,Snow,1,611
Kansas,Rooks,Snow,1,613
Kansas,Pratt,Snow,1,607
Kansas,Russell,Snow,1,615
Kansas,Smith,Snow,1,623
Kansas,Stafford,Snow,1,624
Kansas,Rush,Snow,1,614
New York,Cattaraugus,Snow,1,2828
New York,Chautauqua,Snow,1,2830
New York,Erie,Snow,1,2835
New York,Genesee,Snow,1,2838
New York,Jefferson,Snow,1,2842
New York,Lewis,Snow,1,2843
New York,Orleans,Snow,2,2853
New York,St. Lawrence,Snow,1,2857
New York,Wyoming,Snow,1,2867
Maine,Androscoggin,Snow,1,2989
Maine,Cumberland,Snow,1,2990
Maine,Sagadahoc,Snow,1,2995
Maine,York,Snow,1,2997
Kentucky,Adair,Snow,1,2050
Kentucky,Ballard,Snow,1,1564
Kentucky,Clark,Snow,1,2060
Kentucky,Butler,Snow,1,2058
Kentucky,Boyle,Snow,1,2055
Kentucky,Floyd,Snow,1,2221
Kentucky,Edmonson,Snow,1,2064
Kentucky,Estill,Snow,1,2065
Kentucky,Franklin,Snow,1,2067
Kentucky,Jessamine,Snow,1,2076
Kentucky,Anderson,Snow,1,2052
Kentucky,Knott,Snow,1,2224
Kentucky,Harlan,Snow,1,2222
Kentucky,Jackson,Snow,1,2074
Kentucky,Boyd,Snow,1,2215
Kentucky,Caldwell,Snow,1,1565
Kentucky,Lee,Snow,1,2227
Kentucky,Letcher,Snow,1,2229
Kentucky,Knox,Snow,1,2225
Kentucky,Lyon,Snow,1,1576
Kentucky,McCracken,Snow,1,1577
Kentucky,Magoffin,Snow,1,2230
Kentucky,Lewis,Snow,1,2428
