State,designatedArea,disasterType,Freq,FEMA_Object_ID
Louisiana,Acadia,Coastal Storm,2,1385
Louisiana,Ascension,Coastal Storm,2,1387
Louisiana,Allen,Coastal Storm,2,1386
Louisiana,Assumption,Coastal Storm,2,1388
Louisiana,Avoyelles,Coastal Storm,2,1389
Louisiana,Beauregard,Coastal Storm,2,1390
Louisiana,Calcasieu,Coastal Storm,2,1391
Louisiana,Cameron,Coastal Storm,2,1393
Louisiana,Catahoula,Coastal Storm,2,1394
Louisiana,Concordia,Coastal Storm,2,1395
Louisiana,East Feliciana,Coastal Storm,2,1397
Louisiana,Evangeline,Coastal Storm,2,1398
Louisiana,Iberia,Coastal Storm,2,1400
Louisiana,East Baton Rouge,Coastal Storm,2,1396
Louisiana,Iberville,Coastal Storm,2,1401
Louisiana,Jefferson,Coastal Storm,2,1402
Louisiana,Jefferson Davis,Coastal Storm,2,1403
Louisiana,Lafayette,Coastal Storm,2,1404
Louisiana,Livingston,Coastal Storm,2,1407
Louisiana,Orleans,Coastal Storm,2,1409
Louisiana,Plaquemines,Coastal Storm,2,1410
Louisiana,Ouachita,Coastal Storm,2,1593
Louisiana,Pointe Coupee,Coastal Storm,2,1411
Louisiana,Lafourche,Coastal Storm,2,1405
Louisiana,Rapides,Coastal Storm,2,1412
Louisiana,St. Bernard,Coastal Storm,2,1415
Louisiana,St. Charles,Coastal Storm,2,1416
Louisiana,St. Helena,Coastal Storm,2,1417
Louisiana,St. James,Coastal Storm,2,1418
Louisiana,St. John the Baptist,Coastal Storm,2,1419
Louisiana,St. Landry,Coastal Storm,2,1420
Louisiana,St. Martin,Coastal Storm,2,1421
Louisiana,St. Mary,Coastal Storm,2,1422
Louisiana,St. Tammany,Coastal Storm,2,1423
Louisiana,Tangipahoa,Coastal Storm,2,1424
Louisiana,Terrebonne,Coastal Storm,2,1426
Louisiana,Washington,Coastal Storm,2,1429
Louisiana,West Baton Rouge,Coastal Storm,2,1430
Louisiana,West Feliciana,Coastal Storm,2,1431
Louisiana,Vermilion,Coastal Storm,2,1427
Louisiana,Vernon,Coastal Storm,2,1428
Louisiana,Bienville,Coastal Storm,1,1584
Louisiana,Bossier,Coastal Storm,1,1585
Louisiana,Caddo,Coastal Storm,1,637
Louisiana,Caldwell,Coastal Storm,1,1392
Louisiana,Claiborne,Coastal Storm,1,1586
Louisiana,De Soto,Coastal Storm,1,282
Louisiana,East Carroll,Coastal Storm,1,1587
Louisiana,Franklin,Coastal Storm,1,1588
Louisiana,Grant,Coastal Storm,1,1399
Louisiana,Jackson,Coastal Storm,1,1589
Louisiana,La Salle,Coastal Storm,1,1406
Louisiana,Lincoln,Coastal Storm,1,1590
Louisiana,Madison,Coastal Storm,1,1591
Louisiana,Morehouse,Coastal Storm,1,1592
Louisiana,Natchitoches,Coastal Storm,1,1408
Louisiana,Red River,Coastal Storm,1,1413
Louisiana,Richland,Coastal Storm,1,1594
Louisiana,Sabine,Coastal Storm,1,1414
Louisiana,Tensas,Coastal Storm,1,1425
Louisiana,Union,Coastal Storm,1,1595
Louisiana,Webster,Coastal Storm,1,1596
Louisiana,West Carroll,Coastal Storm,1,1597
Louisiana,Winn,Coastal Storm,1,1432
Alaska,North Slope,Coastal Storm,1,18
Maine,York,Coastal Storm,1,2997
Alaska,Kenai Peninsula,Coastal Storm,1,12
New Hampshire,Rockingham,Coastal Storm,1,3018
